Country	Region
AUSTRALIA	Asia.Pacific.DM
AUSTRIA	EMEA.DM
BELGIUM	EMEA.DM
CANADA	Americas.DM
DENMARK	EMEA.DM
FINLAND	EMEA.DM
FRANCE	EMEA.DM
GERMANY	EMEA.DM
HONG KONG	Asia.Pacific.DM
IRELAND	EMEA.DM
ISRAEL	EMEA.DM
ITALY	EMEA.DM
JAPAN	Asia.Pacific.DM
NETHERLANDS	EMEA.DM
NEW ZEALAND	Asia.Pacific.DM
NORWAY	EMEA.DM
PORTUGAL	EMEA.DM
SINGAPORE	Asia.Pacific.DM
SPAIN	EMEA.DM
SWEDEN	EMEA.DM
SWITZERLAND	EMEA.DM
UNITED KINGDOM	EMEA.DM
USA	Americas.DM
BRAZIL	Americas.EM
CHILE	Americas.EM
CHINA	Asia.Pacific.EM
COLOMBIA	Americas.EM
CZECH REPUBLIC	EMEA.EM
EGYPT	EMEA.EM
GREECE	EMEA.EM
HUNGARY	EMEA.EM
INDIA	Asia.Pacific.EM
INDONESIA	Asia.Pacific.EM
KOREA	Asia.Pacific.EM
MALAYSIA	Asia.Pacific.EM
MEXICO	Americas.EM
PERU	Americas.EM
PHILIPPINES	Asia.Pacific.EM
POLAND	EMEA.EM
RUSSIA	EMEA.EM
SOUTH AFRICA	EMEA.EM
TAIWAN	Asia.Pacific.EM
THAILAND	Asia.Pacific.EM
TURKEY	EMEA.EM
ARGENTINA	Americas.Frontier
JORDAN	EMEA.Frontier
MOROCCO	EMEA.Frontier
PAKISTAN	Asia.Pacific.Frontier
WTI 	Commodities
Gold	Commodities
Copper	Commodities

