AUSTRALIA	AUSTRIA	BELGIUM	CANADA	DENMARK	FINLAND	FRANCE	GERMANY	HONG KONG	IRELAND	ISRAEL	ITALY	JAPAN	NETHERLANDS	NEW ZEALAND	NORWAY	PORTUGAL	SINGAPORE	SPAIN	SWEDEN	SWITZERLAND	UNITED KINGDOM	USA	BRAZIL	CHILE	CHINA	COLOMBIA	CZECH REPUBLIC	EGYPT	GREECE	HUNGARY	INDIA	INDONESIA	KOREA	MALAYSIA	MEXICO	PERU	PHILIPPINES	POLAND	RUSSIA	SOUTH AFRICA	TAIWAN	THAILAND	TURKEY	ARGENTINA	JORDAN	MOROCCO	PAKISTAN	BAHRAIN	KUWAIT	OMAN	QATAR	UNITED ARAB EMIRATES
4233.488	2838.315	8072.968	4456.058	9076.566	984.139	5325.876	1694.874	33830.098	667.568	395.719	3462.583	1673.271	5333.646	314.305	7013.766	291.253	2837.844	6649.769	22366.535	2255.894	7473.825	3971.117	33191.059	6002.012	43.52	2869.051	519.19	2748.807	2573.669	1851.115	487.354	2720.986	505.701	488.214	27838.248	1273.127	560.378	2416.454	1118.502	774.175	345.412	501.514	1520491.625	19909178	1097.803	366.984	777.476	1075.147	966.636	1001.968	867.106	927.33
4268.018	2834.8	8145.945	4449.029	9083.114	996.467	5369.669	1724.995	33891.148	668.449	397.141	3492.191	1677.917	5401.83	314.206	7018.263	291.903	2856.736	6755.714	22563.457	2251.951	7567.304	3962.122	33191.059	6055.003	43.604	2868.517	521.641	2739.071	2604.82	1833.691	492.92	2784.965	513.165	489.559	27901.309	1297.395	562.748	2445.604	1131.363	780.471	350.472	514.172	1561677.625	19676254	1063.989	370.413	781.561	1061.668	970.291	997.638	913.289	925.996
4268.018	2846.573	8240.403	4480.031	9126.353	989.607	5463.925	1764.017	33861.352	672.14	398.134	3543.515	1703.712	5490.438	315.027	7058.816	292.396	2875.553	6801.119	22744.951	2272.411	7590.913	3990.883	33643.617	6151.875	43.513	2933.226	517.373	2725.114	2685.943	1795.763	492.92	2767.586	514.081	491.609	28481.887	1327.499	564.741	2415.072	1135.056	782.409	350.472	514.05	1563031.625	20092614	1063.404	371.874	785.939	1061.225	970.291	1000.867	943.134	909.213
4324.123	2889.965	8312.112	4531.444	9202.669	1000.156	5550.379	1794.814	34319.145	682.169	399.137	3561.582	1756.434	5550.835	316.805	7235.454	291.685	2905.909	6855.081	23076.244	2281.521	7680.519	4020.877	33470.891	6193.408	44.536	3001.231	520.074	2699.742	2685.943	1844.642	501.697	2782.326	525.728	491.927	28051.584	1360.588	565.957	2425.236	1166.483	798.682	350.472	512.964	1546128.5	20523128	1063.404	377.383	797.574	1061.225	970.291	1000.867	943.134	909.213
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4347.738	2919.85	8298.185	4568.935	9249.997	1001.052	5529.041	1798.63	34319.145	680.293	394.078	3558.353	1771.209	5554.036	316.597	7337.974	291.696	2905.909	6858.573	23120.486	2285.258	7669.381	4026.025	33965.063	6217.741	44.536	2995.847	521.609	2697.74	2691.604	1829.346	500.615	2793.743	525.728	491.927	27938.158	1375.348	568.952	2432.54	1126.111	794.405	350.472	510.051	1536809.875	20773744	1095.022	390.287	804.719	NA	NA	NA	NA	NA
4331.959	2900.045	8257.646	4569.697	9181.945	1005.972	5541.396	1802.089	34319.145	680.54	396.486	3557.694	1779.351	5545.845	316.888	7263.57	291.775	2905.909	6913.218	23190.395	2291.535	7642.97	4012.973	34245.742	6230.83	44.536	2899.327	524.011	2708.185	2691.604	1806.611	504.625	2793.743	533.857	491.927	28039.842	1416.115	574.206	2354.093	1116.68	806.398	350.472	515.536	1526020	20909426	1095.022	390.287	805.341	NA	NA	NA	NA	NA
4357.303	2937.591	8349.787	4569.055	9367.442	1021.786	5597.924	1820.304	34200.945	685.115	398.908	3586.884	1762.122	5618.551	317.741	7346.846	294.845	2921.674	6992.447	23387.307	2298.248	7698.765	4018.605	34238.746	6233.49	45.519	2818.221	522.864	2722.846	2761.29	1817.698	500.869	2818.012	526.385	491.927	28310.67	1404.95	574.081	2368.931	1134.447	820.27	350.472	514.94	1549101.25	20261808	1103.834	401.773	809.624	NA	NA	NA	NA	NA
4311.374	2876.577	8320.486	4559.67	9451.286	1015.972	5515.117	1795.107	34113.98	685.307	396.402	3540.705	1780.804	5570.011	323.214	7319.469	291.538	2931.085	6931.901	23447.959	2284.578	7628.681	3982.614	33153.848	6174.326	45.042	2855.162	525.731	2761.077	2727.159	1827.799	498.878	2813.032	524.895	491.927	28080.455	1420.967	578.618	2351.994	1123.04	824.494	350.472	505.115	1533916.5	19566826	1108.598	399.921	807.601	1071.627	969.464	992.808	939.933	873.47
