AUSTRALIA	AUSTRIA	BELGIUM	CANADA	DENMARK	FINLAND	FRANCE	GERMANY	HONG KONG	IRELAND	ISRAEL	ITALY	JAPAN	NETHERLANDS	NEW ZEALAND	NORWAY	PORTUGAL	SINGAPORE	SPAIN	SWEDEN	SWITZERLAND	UNITED KINGDOM	USA	BRAZIL	CHILE	CHINA	COLOMBIA	CZECH REPUBLIC	EGYPT	GREECE	HUNGARY	INDIA	INDONESIA	KOREA	MALAYSIA	MEXICO	PERU	PHILIPPINES	POLAND	RUSSIA	SOUTH AFRICA	TAIWAN	THAILAND	TURKEY	ARGENTINA	JORDAN	MOROCCO	PAKISTAN	BAHRAIN	KUWAIT	OMAN	QATAR	UNITED ARAB EMIRATES	USDCAD
2856.556	6363.862	12284.073	4165.667	11206.938	801.358	5525.847	4042.548	24225.031	624.936	262.92	1371.828	5262.965	10704.507	324.776	7643.979	234.234	5378.093	3502.339	15318.779	7682.775	5575.599	3971.117	3870.108	2647.474	43.51	935.314	623.496	1530.396	1250.303	1029.242	339.947	473.085	410.695	324.518	5932.312	656.149	221.488	1224.16	1120.147	624.675	308.364	318.31	1169.492	3343.82	522.638	366.427	334.753	1075.147	966.636	1001.968	867.607	927.304	1.1514
2887.532	6349.77	12383	4185.695	11201.568	810.603	5565.838	4110.369	24263.117	625.149	264.155	1382.206	5226.516	10830.753	326.702	7653.961	234.527	5415.385	3554.661	15459.48	7664.486	5653.876	3962.122	3854.596	2669.202	43.584	931.171	629.963	1548.649	1244.657	1021.152	344.687	491.853	419.725	325.455	5951.553	666.859	223.039	1240.661	1133.259	630.121	312.989	328.307	1200.944	3296.556	506.576	369.506	336.512	1061.527	970.125	997.638	913.816	925.996	1.1504
2895.784	6368.6	12511.779	4216.33	11240.668	804.07	5656.841	4198.383	24244.754	627.857	264.042	1400.861	5291.325	10995.398	327.652	7653.191	234.645	5444.726	3574.32	15590.023	7707.549	5671.04	3990.883	3930.081	2699.745	43.498	953.098	623.246	1597.158	1236.851	993.01	345.235	487.87	420.344	326.949	6072.821	685.087	224.128	1220.792	1136.795	625.93	312.94	328.902	1204.031	3355.015	506.297	370.679	338.453	1061.225	970.125	1000.867	943.679	909.213	1.1512
2920.24	6406.298	12504.745	4267.502	11230.887	805.178	5693.57	4232.447	24572.217	631.372	263.892	1395.072	5415.422	11014.254	328.947	7760.172	231.924	5497.5	3569.591	15673.779	7666.392	5691.749	4020.877	3935.643	2731.898	44.521	977.045	622.818	1597.158	1214.081	1007.936	351.303	489.684	429.071	326.724	6007.204	702.211	224.653	1214.714	1168.169	632.972	312.872	328.375	1188.313	3426.901	506.297	373.589	343.377	1061.225	969.958	1000.867	943.679	909.188	1.1496
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2927.391	6444.279	12429.277	4312.199	11237.749	802.38	5646.913	4222.924	24570.316	626.887	259.855	1387.721	5428.485	10972.479	327.434	7793.753	230.921	5477.932	3555.813	15654.015	7625.248	5669.228	4026.025	4016.752	2758.335	44.517	975.895	620.459	1600.524	1207.883	993.04	350.386	491.039	429.071	326.724	5996.529	711.075	226.491	1214.129	1126.988	628.739	312.872	325.3	1178.039	3469.033	521.351	384.764	346.425	NA	NA	NA	NA	819.085	1.1452
2946.959	6432.085	12429.46	4321.595	11209.697	810.294	5687.4	4251.879	24570	630.202	260.629	1394.295	5480.924	11010.245	329.659	7791.556	232.12	5503.886	3601.793	15762.379	7681.409	5678.62	4012.973	4032.299	2750.493	44.517	943.33	626.442	1600.734	1218.53	985.371	352.592	491.091	438.483	326.724	6009.659	730.883	229.021	1178.314	1117.676	645.539	312.872	330.446	1174.631	3480.407	521.277	385.658	346.577	NA	NA	NA	NA	826.855	1.139
2959.498	6492.02	12523.128	4329.508	11394.267	820.083	5724.835	4279.47	24484.273	632.166	262.092	1400.7	5394.675	11114.631	331.536	7870.187	233.722	5521.258	3630.02	15836.533	7686.211	5727.476	4018.605	4032.568	2743.591	45.497	917.426	621.735	1641.604	1220.738	989.674	349.849	498.624	433.492	326.724	6081.204	726.098	229.234	1182.774	1135.393	654.66	312.872	327.874	1192.173	3372.5	525.509	395.937	348.216	NA	NA	NA	NA	826.833	1.1414
2923.262	6350.874	12466.805	4310.039	11483.595	814.609	5634.557	4216.048	24424.219	631.716	259.496	1381.295	5421.947	11007.682	338.056	7860.845	230.872	5519.184	3595.02	15789.093	7628.017	5672.946	3982.614	3897.925	2711.646	45.024	929.944	622.39	1622.091	1236.651	996.604	348.143	496.412	427.686	326.724	6003.831	733.527	231.113	1171.48	1123.9	660.449	312.872	320.066	1176.929	3256.823	527.777	394.701	347.52	1071.627	969.132	992.808	940.476	873.47	1.145
